feature,importance
spotify_popularity,0.2816937144341869
city_99,0.24506611996981356
month,0.06990420046347394
state_45,0.05327000998278279
weekday,0.0460723596651103
subgenre_52,0.03867031757833108
genre_22,0.03773687232475283
state_19,0.03164951319145303
year,0.018543213851906958
genre_0,0.014920734070301287
subgenre_0,0.014432118969068248
city_229,0.008303547036993826
city_252,0.008262491657244134
city_170,0.007746058446310945
state_46,0.007260524262469207
city_18,0.006710147348372721
city_202,0.005763490370993604
genre_11,0.005188904583282903
city_162,0.005075735146867878
state_2,0.004932431958834999
subgenre_11,0.004841898491176519
city_6,0.0046769717268524075
city_125,0.004327747933276944
subgenre_53,0.0040886887906227635
genre_5,0.0036780557694994806
genre_3,0.0033349103437429126
state_38,0.003305870674810721
city_9,0.003215902759328114
city_224,0.003006073730297571
state_7,0.0029799401834183434
subgenre_6,0.002977448988640595
city_134,0.0026157630124951313
state_11,0.0022650049152125227
state_30,0.0019098977969651246
state_47,0.0018284800675772376
city_87,0.0017877924923480918
city_2,0.0017533259531019123
city_12,0.0017468328568284966
city_225,0.0016010949725553138
subgenre_10,0.001577338977063223
city_101,0.0015631086838428447
state_16,0.0015029017236772007
state_4,0.001454788818115389
city_114,0.001318983198634643
city_191,0.0012676442990048704
city_8,0.0012473355259342445
state_25,0.0012368378952325846
genre_6,0.0012295913249608106
subgenre_1,0.0012287068693204294
city_81,0.0011327962774968562
genre_1,0.0010107282370851126
city_156,9.214381676211859E-4
city_59,8.931531879045174E-4
subgenre_2,8.695592079008173E-4
city_138,8.288442056817043E-4
genre_4,7.602854772405514E-4
city_278,7.586378470844891E-4
subgenre_4,7.048638850135978E-4
genre_2,6.670008271027673E-4
city_39,6.221648077072156E-4
city_48,5.735748996479504E-4
city_61,5.132922213282741E-4
city_5,5.073623042310433E-4
state_0,4.945221274839985E-4
city_57,4.786147454451296E-4
city_36,4.783962744786606E-4
subgenre_3,4.7759849234522446E-4
subgenre_21,3.8009468328304704E-4
city_98,3.5729732262628557E-4
city_282,3.204188041072117E-4
state_6,2.9063751448046816E-4
city_53,2.728901854014368E-4
city_27,2.706425200872828E-4
city_42,2.4249224988775867E-4
state_24,2.1799542282647098E-4
city_35,2.0495181977760543E-4
