subgenre,avg_price
Alternative Rock,63.92673031026254
Heavy Metal,45.21601941747573
Gospel,60.35910112359551
Club Dance,44.98616822429907
Undefined,55.31212121212123
Pop,153.0435335413418
Country,101.26117977528092
Americana,20.0
Urban,55.68175182481752
Jazz-Rock,126.0
Post-Hardcore,14.0
Oldies & Classics,92.16666666666667
Hebrew,155.0
Other,28.083333333333332
R&B,99.53518072289157
Indie Pop,28.225
European Pop,33.88
World,83.74311688311688
Indie Rock,19.0
Psychedelic,37.5
Performance Art,23.3
Flamenco,72.0
Emo,10.0
Hip-Hop/Rap,37.473684210526315
Christmas Music,69.625
Reggae,28.241666666666667
Gospel Choir,20.0
Dance Pop,16.0
Russia,95.0
Bluegrass,30.289473684210527
Trance,60.0
Big Band,80.0
Christian Rock,69.35
Punk,18.666666666666668
Reggaeton,71.5
Latin Electronica,15.0
Metal,15.5
Blues,86.87050632911392
Scandinavia,54.75
Dance/Electronic,41.79083333333333
Children's Music,44.166666666666664
Latin,199.78214953271026
Rock,48.970588235294116
Jazz,60.7372641509434
New Age,91.78125
Folk,40.791666666666664
Classical/Vocal,102.8952
Ballads/Romantic,200.0
Alternative,15.0
Folk Rock,42.25
Adult Contemporary,150.9220253164557
Funk,38.3
Soul,32.66757142857143
